Run,in:levels,in:shift,in:levelfraction,in:floorthickness,in:fractionextension,in:wallrvalue,in:roofrvalue,in:floortype,in:shadingenergy,in:shadingmateriallighting,in:InfiltrationAch,in:glazingtype,in:ceilingmaterial,in:hvacheating_type,in:hvachotwater,in:hvacecon,in:hvacheatrecovery,in:buildinglpd,in:hvaccold,out:EUI,out:CO2,out:Cost,out:Area,out:dgp,out:udi,img:udi,img:DGP,img:floor
0,4,1,2,0.15,1,W0,R0,F1,1,Golden low-E fabric WBI2W,0.1,DoublePaneLoEe2,Black Ceiling,1,1,0,0,1.3,1,149.51,81.55,21.39,336.18,1.138877;0.029315;2.957759;0.396931,134.47,Iterator0_Parallel.png,Iterator0_Parallel.png,Iterator0.png
1,4,1,2,0.2,1.25,W3,R2,F2,1,Sunvision Ecru,3,DoublePaneLoEe2,Black Ceiling,3,1,0,0.75,0.98,3,111.95,71.99,20.74,386.61,5.94221;0.341217;15.538548;1.610247,349.08,Iterator1_Parallel.png,Iterator1_Parallel.png,Iterator1.png
2,2,1,1,0.2,1.1,W1,R3,F1,None,Golden low-E fabric WBI2W,0.1,DoublePaneLoEe2,Black Ceiling,1,0,1,0,2,1,133.44,76.58,20.73,268.95,8.870361;0.743229,294.36,Iterator2_Parallel.png,Iterator2_Parallel.png,Iterator2.png
3,2,0,3,0.3,1.1,W3,R3,F1,None,Golden low-E fabric WBI2W,1.5,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,0,0,0,0.75,2,0,154.22,83,21.58,183.78,7.684132;6.235358,716.52,Iterator3_Parallel.png,Iterator3_Parallel.png,Iterator3.png
4,2,1,3,0.3,1.25,W1,R3,F1,None,Sunvision Ecru,0.1,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,1,0,0,0.75,2,2,122.87,75.55,21.27,190.5,3.823882;6.571724,608.79,Iterator4_Parallel.png,Iterator4_Parallel.png,Iterator4.png
5,4,0,2,0.15,1.1,W0,R0,F2,None,Sunvision Ecru,1.5,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,1,1,0,0.75,0.98,3,131.35,77.62,21.37,356.35,1.794942;5.977713;1.110399;1.659868,326.56,Iterator5_Parallel.png,Iterator5_Parallel.png,Iterator5.png
6,3,0,1,0.15,1.1,W3,R2,F1,None,Sunvision Ecru,0.1,DoublePaneLoEe2,Ceiling LM83,0,1,1,0.75,2,1,129.33,75.31,20.56,403.42,7.32354;2.390246;0.827414,337.03,Iterator6_Parallel.png,Iterator6_Parallel.png,Iterator6.png
7,2,1,3,0.3,1,W0,R1,F2,1,Sunvision Ecru,1.5,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,3,1,1,0,1.3,1,138,80.69,22.08,179.3,4.908388;6.021905,663.14,Iterator7_Parallel.png,Iterator7_Parallel.png,Iterator7.png
8,4,0,3,0.15,1,W1,R0,F2,1,Golden low-E fabric WBI2W,0.1,DoublePaneLoEe2,White Ceiling,3,0,0,0,1.3,1,137.41,79.45,21.6,268.95,1.537781;2.318499;2.770699;0.355671,459.75,Iterator8_Parallel.png,Iterator8_Parallel.png,Iterator8.png
9,4,0,2,0.3,1.1,W2,R2,F2,1,Sunvision Ecru,3,Solarcool on Pacifica - Clear (Argon),White Ceiling,1,1,1,0,2,3,115.3,72.46,20.63,356.35,1.858193;5.464658;1.060937;1.593228,333.82,Iterator9_Parallel.png,Iterator9_Parallel.png,Iterator9.png
10,3,1,1,0.2,1.25,W3,R0,F2,1,Sunvision Ecru,1.5,Solarcool on Pacifica - Clear (Argon),White Ceiling,0,1,1,0.75,0.98,3,119.86,74.09,20.91,403.42,7.466363;2.212706;0.76076,344.84,Iterator10_Parallel.png,Iterator10_Parallel.png,Iterator10.png
11,3,1,3,0.15,1,W1,R0,F1,None,Golden low-E fabric WBI2W,1.5,Solarcool on Pacifica - Clear (Argon),Black Ceiling,1,0,0,0,2,3,131.44,77.98,21.52,224.12,0.995725;2.784689;4.13781,367.05,Iterator11_Parallel.png,Iterator11_Parallel.png,Iterator11.png
12,4,0,2,0.3,1.1,W1,R3,F2,1,Sunvision Ecru,3,DoublePaneLoEe2,White Ceiling,1,0,1,0.75,1.3,3,114.73,72.32,20.62,356.35,1.796122;5.490899;1.07436;1.597696,334.03,Iterator12_Parallel.png,Iterator12_Parallel.png,Iterator12.png
13,3,0,1,0.15,1.25,W0,R0,F1,None,Golden low-E fabric WBI2W,3,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),White Ceiling,0,1,1,0,0.98,3,123.68,75.23,21.05,403.42,6.125665;1.758174;0.820777,325.69,Iterator13_Parallel.png,Iterator13_Parallel.png,Iterator13.png
14,3,1,1,0.3,1.25,W2,R0,F2,1,Golden low-E fabric WBI2W,3,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),White Ceiling,1,0,1,0.75,1.3,1,135.22,77.13,20.8,403.42,6.083091;1.488063;0.635833,294.73,Iterator14_Parallel.png,Iterator14_Parallel.png,Iterator14.png
15,4,0,1,0.3,1,W1,R2,F1,1,Sunvision Ecru,3,Solarcool on Pacifica - Clear (Argon),Black Ceiling,2,1,0,0.75,0.98,0,137.19,77.88,20.94,537.89,0;2.205855;0.083126;5.939823,114.8,Iterator15_Parallel.png,Iterator15_Parallel.png,Iterator15.png
16,3,1,3,0.2,1,W3,R2,F1,1,Golden low-E fabric WBI2W,0.1,Vistacool on Pacifica - Clear (Krypton),White Ceiling,0,1,1,0.75,1.3,2,122.46,75.64,21.34,224.12,0.984768;2.986933;4.205351,564.48,Iterator16_Parallel.png,Iterator16_Parallel.png,Iterator16.png
17,2,0,1,0.2,1.1,W1,R1,F1,1,Golden low-E fabric WBI2W,3,DoublePaneLoEe2,Ceiling LM83,3,0,1,0,0.98,0,146.81,81.17,21.48,268.95,9.163304;0.745089,360.74,Iterator17_Parallel.png,Iterator17_Parallel.png,Iterator17.png
18,3,1,2,0.15,1.1,W3,R3,F1,None,Golden low-E fabric WBI2W,3,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Black Ceiling,0,0,0,0.75,1.3,0,143.48,79.68,21.14,282.39,1.908834;1.464184;2.912835;4.139241,301.93,Iterator18_Parallel.png,Iterator18_Parallel.png,Iterator18.png
19,2,1,3,0.2,1,W3,R2,F1,1,Golden low-E fabric WBI2W,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),White Ceiling,1,1,0,0,1.3,3,118.97,73.62,20.79,179.3,3.756149;3.114406,548.2,Iterator19_Parallel.png,Iterator19_Parallel.png,Iterator19.png
20,2,0,1,0.3,1,W3,R3,F1,1,Golden low-E fabric WBI2W,0.1,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,0,1,0,0,2,3,117.04,73.04,20.72,268.95,9.080691;0.741625,360.09,Iterator20_Parallel.png,Iterator20_Parallel.png,Iterator20.png
21,2,0,2,0.15,1,W3,R1,F2,1,Golden low-E fabric WBI2W,3,Vistacool on Pacifica - Clear (Krypton),Black Ceiling,1,1,0,0,0.98,3,120.18,74.44,21.04,201.71,3.376894;3.119183,397.07,Iterator21_Parallel.png,Iterator21_Parallel.png,Iterator21.png
22,3,0,1,0.15,1,W1,R1,F1,None,Sunvision Ecru,3,Solarcool on Pacifica - Clear (Argon),Ceiling LM83,0,1,0,0.75,1.3,1,128.36,75.01,20.52,403.42,7.248538;2.38441;0.830638,335.47,Iterator22_Parallel.png,Iterator22_Parallel.png,Iterator22.png
23,3,0,1,0.3,1.25,W2,R2,F1,None,Sunvision Ecru,0.1,Solarban 90 (2) - Solarban 90 (4) - Clear (Argon),Ceiling LM83,2,1,0,0.75,1.3,1,124.39,73.94,20.43,403.42,7.425247;1.921331;0.637256,307.25,Iterator23_Parallel.png,Iterator23_Parallel.png,Iterator23.png
